Tanggal WIB	Jam WIB	BTC Open	BTC High	BTC Low	BTC Close	Posisi	Lot BTC	Pending Reverse	Qty Pending	Action	Saldo Realized	Equity MTM
2018-11-10	00:00	6435,83	6440,12	6430,6	6438,98	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,639
2018-11-10	01:00	6438,63	6442,7	6425,86	6426,32	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6179
2018-11-10	02:00	6428,62	6436,97	6422,11	6434,03	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6307
2018-11-10	03:00	6434,03	6444	6421,97	6429,38	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,623
2018-11-10	04:00	6426,93	6429,38	6391,5	6416,21	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,601
2018-11-10	05:00	6414,98	6427,51	6405,24	6418,56	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6049
2018-11-10	06:00	6419,32	6426,96	6416,01	6419,99	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6073
2018-11-10	07:00	6419,99	6432,02	6416,01	6425,69	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6168
2018-11-10	08:00	6428,8	6432,64	6411	6431,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6257
2018-11-10	09:00	6431,01	6440	6428,7	6428,75	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6219
2018-11-10	10:00	6430,85	6443,19	6428,76	6434,69	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6318
2018-11-10	11:00	6436,77	6472,57	6432,65	6454	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6641
2018-11-10	12:00	6452,86	6458	6442,67	6450,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6574
2018-11-10	13:00	6451,99	6459,33	6426,64	6427,91	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6205
2018-11-10	14:00	6426,66	6448,53	6426,66	6445,89	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6505
2018-11-10	15:00	6445,85	6453,85	6435,01	6435,98	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,634
2018-11-10	16:00	6437,67	6445	6431,25	6438,93	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6389
2018-11-10	17:00	6439,44	6440,11	6431,11	6431,14	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6259
2018-11-10	18:00	6431,84	6450,63	6431,15	6450,08	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6575
2018-11-10	19:00	6450,08	6460	6443,52	6455,49	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6666
2018-11-10	20:00	6456,59	6467,22	6452,03	6457,65	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6702
2018-11-10	21:00	6457,65	6460	6448,22	6458,15	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,671
2018-11-10	22:00	6458,15	6463,96	6451	6452,22	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6611
2018-11-10	23:00	6452,22	6465	6452,21	6464,01	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6808
2018-11-11	00:00	6464,02	6475,55	6453,98	6458,9	LONG	0,00167	5982,92	0,00334	HOLD	99,9075	100,6723
